year,reports
1990,2214
1991,10287
1992,11137
1993,10646
1994,10837
1995,10611
1996,11292
1997,11724
1998,10533
1999,12944
2000,14914
2001,14149
2002,14694
2003,17347
2004,15982
2005,16256
2006,17987
2007,29509
2008,30989
2009,34449
2010,33180
2011,26763
2012,28188
2013,30916
2014,35825
2015,48369
2016,50812
2017,43830
2018,51886
2019,50742
2020,51003
2021,768704
2022,251982
2023,108361
2024,52891
2025,40805
2026,6270
